State_FIPS,County_FIPS,County,R_Trump_Election_Day,R_Trump_Absentee_Mail,R_Trump_Advanced_Voting,R_Trump_Provisional,R_Trump_Total,D_Biden_Election_Day,D_Biden_Absentee_Mail,D_Biden_Advanced_Voting,D_Biden_Provisional,D_Biden_Total,L_Jorgensen_Election_Day,L_Jorgensen_Absentee_Mail,L_Jorgensen_Advanced_Voting,L_Jorgensen_Provisional,L_Jorgensen_Total,Total
13,077,Coweta,18273,9400,23824,4,51501,5330,9288,9578,14,24210,498,304,283,3,1088,76799
13,079,Crawford,1152,562,2713,1,4428,263,524,827,1,1615,21,10,28,0,59,6102
13,081,Crisp,977,780,3227,3,4987,571,886,1527,2,2986,23,10,33,0,66,8039
13,083,Dade,2010,635,3414,7,6066,243,377,640,1,1261,51,12,44,0,107,7434
13,085,Dawson,2336,1962,9095,0,13393,254,1051,1181,0,2486,62,44,90,0,196,16075
13,087,Decatur,1469,832,4451,6,6758,788,1472,2512,8,4780,20,23,46,0,89,11627
13,089,DeKalb,12126,16046,29966,32,58170,33626,110367,162717,277,306987,1122,1352,1707,3,4184,369341
13,091,Dodge,2335,711,2793,0,5839,550,580,1040,0,2170,34,10,11,0,55,8064
13,093,Dooly,466,259,1431,3,2159,482,476,951,2,1911,10,7,18,0,35,4105
13,095,Dougherty,4259,2347,3818,22,10446,7317,8015,9124,84,24540,133,70,74,3,280,35266
13,097,Douglas,4735,5434,15139,0,25308,5807,13998,22804,0,42609,252,227,349,0,828,68745
13,099,Early,799,416,1504,0,2719,646,684,1107,0,2437,7,6,15,0,28,5184
13,101,Echols,226,121,909,0,1256,33,32,102,0,167,4,3,11,0,18,1441
13,103,Effingham,7350,2519,13471,17,23357,1752,2333,3623,12,7720,233,92,167,0,492,31569
13,105,Elbert,1837,981,3408,0,6226,529,1082,1268,0,2879,30,13,23,0,66,9171
13,107,Emanuel,2528,896,3126,1,6551,842,808,1234,0,2884,36,7,22,1,66,9501
13,109,Evans,471,491,1926,0,2888,236,347,741,0,1324,12,12,11,0,35,4247
13,111,Fannin,4163,2251,5730,0,12144,384,1159,1028,0,2571,43,32,35,0,110,14825
13,113,Fayette,6352,7379,22585,0,36316,3400,11148,17315,0,31863,279,232,420,0,931,69110
13,115,Floyd,7897,4436,14612,114,27059,2154,3976,4806,23,10959,199,98,199,0,496,38514
13,117,Forsyth,9740,14602,60739,0,85081,3375,15677,23125,0,42177,415,477,1087,0,1979,129237
13,119,Franklin,2299,1404,5364,2,9069,348,598,647,0,1593,31,25,47,0,103,10765
13,121,Fulton,19250,29479,87071,916,136716,37168,115788,223614,2525,379095,1422,1727,2994,96,6239,522050
13,123,Gilmer,4371,2148,6863,0,13382,453,1243,1209,0,2905,64,35,64,0,163,16450
13,125,Glascock,403,205,795,0,1403,40,53,62,0,155,3,1,4,0,8,1566
13,127,Glynn,4701,4388,16492,35,25616,2153,5735,7969,22,15879,149,105,234,1,489,41984
13,129,Gordon,6986,2538,9866,15,19405,1003,1464,1916,1,4384,107,51,86,0,244,24033
13,131,Grady,2028,1103,3896,0,7027,635,1112,1861,0,3608,25,11,18,0,54,10689
13,133,Greene,844,1275,4947,2,7068,583,1532,1965,8,4088,21,19,51,0,91,11247
13,135,Gwinnett,35271,40396,90472,0,166139,35793,81502,124125,0,241420,1742,1679,2186,0,5607,413166
13,137,Habersham,2628,2905,11083,0,16616,511,1315,1733,0,3559,64,42,126,0,232,20407
13,139,Hall,11111,11995,40999,0,64105,3847,9204,11951,0,25002,402,304,611,0,1317,90424
13,141,Hancock,274,244,641,0,1159,624,1223,1135,3,2985,10,7,4,0,21,4165
13,143,Haralson,4317,1786,6224,4,12331,375,671,746,0,1792,55,30,40,0,125,14248
13,145,Harris,5592,2087,6627,13,14319,1278,2067,2106,6,5457,103,62,50,0,215,19991
13,147,Hart,2338,1437,5687,2,9464,560,1128,1467,2,3157,43,20,43,0,106,12727
13,149,Heard,1641,677,2197,1,4516,184,296,343,1,824,21,11,19,0,51,5391
13,151,Henry,8143,8134,31879,31,48187,8191,20858,44156,71,73276,322,310,645,2,1279,122742
13,153,Houston,11644,8163,21677,50,41534,6349,11867,13970,46,32232,422,294,339,2,1057,74823
13,155,Irwin,655,369,2106,4,3134,227,257,523,1,1008,8,1,17,0,26,4168
13,157,Jackson,4961,4395,20135,6,29497,1053,2797,3791,1,7642,157,116,258,0,531,37670
13,159,Jasper,1547,808,3455,12,5822,294,680,785,2,1761,22,18,21,0,61,7644
13,161,Jeff Davis,1418,528,2749,0,4695,248,273,507,0,1028,18,13,17,0,48,5771
13,163,Jefferson,1096,446,1992,3,3537,1056,1274,1723,8,4061,18,6,20,0,44,7642
13,165,Jenkins,579,335,1244,3,2161,292,416,557,1,1266,15,5,8,0,28,3455
13,167,Johnson,771,331,1748,0,2850,209,420,593,0,1222,9,6,13,0,28,4100
13,169,Jones,3023,1272,5666,4,9965,841,1689,2356,2,4888,47,18,47,1,113,14966
13,171,Lamar,1743,807,3772,0,6322,472,936,1204,0,2612,40,14,40,0,94,9028
13,173,Lanier,481,250,1778,0,2509,204,298,517,0,1019,13,10,25,0,48,3576
13,175,Laurens,5660,2340,6479,0,14479,1883,2714,3451,0,8048,62,38,63,0,163,22690
13,177,Lee,3054,1221,7728,4,12007,895,1243,2418,2,4558,62,19,68,0,149,16714
13,179,Liberty,1704,1299,4941,0,7944,1666,4256,7129,0,13051,102,93,136,0,331,21326
13,181,Lincoln,904,439,1832,0,3175,264,628,540,0,1432,13,10,13,0,36,4643
13,183,Long,1126,290,2102,10,3528,379,500,1148,6,2033,33,14,48,0,95,5656
13,185,Lowndes,5351,3379,16795,166,25691,2892,5929,11017,279,20117,168,122,249,8,547,46355
13,187,Lumpkin,2002,2020,8138,0,12160,332,1241,1549,0,3122,63,48,131,0,242,15524
13,193,Macon,348,139,1296,0,1783,692,706,1459,0,2857,10,2,10,0,22,4662
13,195,Madison,3322,1718,6103,3,11146,694,1192,1478,1,3365,79,40,77,0,196,14707
13,197,Marion,759,295,1221,0,2275,220,471,620,0,1311,12,6,20,0,38,3624
13,189,McDuffie,826,898,4445,0,6169,600,1522,2046,0,4168,40,23,55,0,118,10455
